species,decimalLatitude,decimalLongitude,eventDate,scientificName,phylum,class,order,family,genus
Balaenoptera edeni,15.0,90.0,1878-07-02T12:00:00Z,Balaenoptera edeni,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera
Hermundura annandalei,16.6333332062,82.3000030518,1932-07-02T00:00:00Z,Hermundura annandalei,Annelida,Polychaeta,Phyllodocida,Pilargidae,Hermundura
Dinophysis odiosa,8.931944444,76.56027778,2006/2008,Dinophysis odiosa,Myzozoa,Dinophyceae,Dinophysales,Dinophysaceae,Dinophysis
Frontonia leucas,19.7666664124,85.3333358765,,Frontonia leucas,Ciliophora,Oligohymenophorea,Peniculida,Frontoniidae,Frontonia
Euconchoecia chierchiae,17.3999996185,71.3700027466,,Euconchoecia chierchiae,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Euconchoecia
Microbulbifer agarilyticus,22.3181,72.619,2017-01-01,Microbulbifer agarilyticus,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Microbulbifer
Chelonia mydas,22.461,69.283,2017-01-19T13:36:00,Chelonia mydas,Chordata,,Testudines,Cheloniidae,Chelonia
Orthoconchoecia striola,16.8700008392,72.3000030518,,Orthoconchoecia striola,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Orthoconchoecia
Lagocephalus sceleratus,21.9442127684078,88.8980217778187,,Lagocephalus sceleratus,Chordata,Teleostei,Tetraodontiformes,Tetraodontidae,Lagocephalus
Upeneus japonicus,15.1000003815,94.0999984741,1963-04-01T12:00:00Z,Upeneus japonicus,Chordata,Teleostei,Mulliformes,Mullidae,Upeneus
Sigambra parva,9.011111111,76.40888889,1998/2001,Sigambra parva,Annelida,Polychaeta,Phyllodocida,Pilargidae,Sigambra
Corycaeus (Ditrichocorycaeus) dahli,9.41666698456,76.5,1957-07-02T12:00:00Z,Corycaeus (Ditrichocorycaeus) dahli,Arthropoda,Copepoda,Cyclopoida,Corycaeidae,Corycaeus
Acarinina bullbrooki,9.0292,72.8778,1972-03-10,Acarinina bullbrooki,Foraminifera,Globothalamea,Rotaliida,Truncorotaloididae,Acarinina
Rastrelliger kanagurta,8.48,76.85,2010-06-07,Rastrelliger kanagurta,Chordata,Teleostei,Scombriformes,Scombridae,Rastrelliger
Chalixodytes tauensis,11.0,72.5,,Chalixodytes tauensis,Chordata,Teleostei,Acropomatiformes,Creediidae,Chalixodytes
